일시,구분,미세먼지(PM10),초미세먼지(PM25)
2016-01-01 00:00:00,동작구,90.0,58.0
2016-01-01 01:00:00,동작구,77.0,50.0
2016-01-01 02:00:00,동작구,67.0,45.0
2016-01-01 03:00:00,동작구,46.0,36.0
2016-01-01 04:00:00,동작구,51.0,43.0
2016-01-01 05:00:00,동작구,55.0,45.0
2016-01-01 06:00:00,동작구,64.0,45.0
2016-01-01 07:00:00,동작구,69.0,52.0
2016-01-01 08:00:00,동작구,76.0,55.0
2016-01-01 09:00:00,동작구,78.0,53.0
2016-01-01 10:00:00,동작구,89.0,59.0
2016-01-01 11:00:00,동작구,75.0,57.0
2016-01-01 12:00:00,동작구,71.0,57.0
2016-01-01 13:00:00,동작구,65.0,41.0
2016-01-01 14:00:00,동작구,53.0,34.0
2016-01-01 15:00:00,동작구,46.0,30.0
2016-01-01 16:00:00,동작구,31.0,30.0
2016-01-01 17:00:00,동작구,45.0,33.0
2016-01-01 18:00:00,동작구,37.0,29.0
2016-01-01 19:00:00,동작구,39.0,28.0
2016-01-01 20:00:00,동작구,39.0,26.0
2016-01-01 21:00:00,동작구,35.0,26.0
2016-01-01 22:00:00,동작구,25.0,21.0
2016-01-01 23:00:00,동작구,41.0,33.0
2016-01-02 00:00:00,동작구,25.0,19.0
2016-01-02 01:00:00,동작구,25.0,23.0
2016-01-02 02:00:00,동작구,42.0,30.0
2016-01-02 03:00:00,동작구,33.0,29.0
2016-01-02 04:00:00,동작구,29.0,29.5
2016-01-02 05:00:00,동작구,33.0,30.0
2016-01-02 06:00:00,동작구,40.0,30.0
2016-01-02 07:00:00,동작구,34.0,27.0
2016-01-02 08:00:00,동작구,36.0,27.0
2016-01-02 09:00:00,동작구,46.0,31.0
2016-01-02 10:00:00,동작구,52.0,32.0
2016-01-02 11:00:00,동작구,43.0,33.0
2016-01-02 12:00:00,동작구,44.0,32.0
2016-01-02 13:00:00,동작구,51.0,37.0
2016-01-02 14:00:00,동작구,58.0,35.0
2016-01-02 15:00:00,동작구,58.0,35.0
2016-01-02 16:00:00,동작구,62.0,35.0
2016-01-02 17:00:00,동작구,54.0,38.0
2016-01-02 18:00:00,동작구,58.0,39.0
2016-01-02 19:00:00,동작구,58.0,39.0
2016-01-02 20:00:00,동작구,58.0,45.0
2016-01-02 21:00:00,동작구,60.0,39.0
2016-01-02 22:00:00,동작구,63.0,42.0
2016-01-02 23:00:00,동작구,54.0,38.0
2016-01-03 00:00:00,동작구,58.0,41.0
2016-01-03 01:00:00,동작구,60.0,44.0
2016-01-03 02:00:00,동작구,60.0,37.0
2016-01-03 03:00:00,동작구,50.0,38.0
2016-01-03 04:00:00,동작구,50.0,38.0
2016-01-03 05:00:00,동작구,64.0,36.0
2016-01-03 06:00:00,동작구,59.0,37.0
2016-01-03 07:00:00,동작구,60.0,40.0
2016-01-03 08:00:00,동작구,85.0,46.0
2016-01-03 09:00:00,동작구,97.0,50.0
2016-01-03 10:00:00,동작구,74.0,59.0
2016-01-03 11:00:00,동작구,91.0,63.0
2016-01-03 12:00:00,동작구,102.0,61.0
2016-01-03 13:00:00,동작구,93.0,63.0
2016-01-03 14:00:00,동작구,89.0,63.0
2016-01-03 15:00:00,동작구,97.0,65.0
2016-01-03 16:00:00,동작구,103.0,65.0
2016-01-03 17:00:00,동작구,110.0,69.0
2016-01-03 18:00:00,동작구,116.0,74.0
2016-01-03 19:00:00,동작구,120.0,73.0
2016-01-03 20:00:00,동작구,125.0,74.0
2016-01-03 21:00:00,동작구,129.0,84.0
2016-01-03 22:00:00,동작구,122.0,84.0
2016-01-03 23:00:00,동작구,145.0,95.0
2016-01-04 00:00:00,동작구,154.0,99.0
2016-01-04 01:00:00,동작구,151.0,96.0
2016-01-04 02:00:00,동작구,156.0,105.0
2016-01-04 03:00:00,동작구,154.0,99.0
2016-01-04 04:00:00,동작구,154.0,97.0
2016-01-04 05:00:00,동작구,149.0,91.0
2016-01-04 06:00:00,동작구,145.0,92.0
2016-01-04 07:00:00,동작구,133.0,88.0
2016-01-04 08:00:00,동작구,86.0,60.0
2016-01-04 09:00:00,동작구,100.0,66.0
2016-01-04 10:00:00,동작구,79.0,77.0
2016-01-04 11:00:00,동작구,61.0,43.0
2016-01-04 12:00:00,동작구,28.0,60.0
2016-01-04 13:00:00,동작구,34.0,43.0
2016-01-04 14:00:00,동작구,27.0,22.0
2016-01-04 15:00:00,동작구,15.0,13.0
2016-01-04 16:00:00,동작구,23.0,13.0
2016-01-04 17:00:00,동작구,15.0,10.0
2016-01-04 18:00:00,동작구,32.0,20.0
2016-01-04 19:00:00,동작구,31.0,21.0
2016-01-04 20:00:00,동작구,31.0,19.0
2016-01-04 21:00:00,동작구,16.0,20.0
2016-01-04 22:00:00,동작구,14.0,16.0
2016-01-04 23:00:00,동작구,24.0,18.0
2016-01-05 00:00:00,동작구,16.0,13.0
2016-01-05 01:00:00,동작구,30.0,14.0
2016-01-05 02:00:00,동작구,14.0,18.0
2016-01-05 03:00:00,동작구,30.0,17.0
2016-01-05 04:00:00,동작구,26.0,18.0
2016-01-05 05:00:00,동작구,25.0,19.0
2016-01-05 06:00:00,동작구,22.0,12.0
2016-01-05 07:00:00,동작구,24.0,18.0
2016-01-05 08:00:00,동작구,23.0,17.0
2016-01-05 09:00:00,동작구,27.0,19.0
2016-01-05 10:00:00,동작구,27.0,18.0
2016-01-05 11:00:00,동작구,29.0,16.0
2016-01-05 12:00:00,동작구,25.0,11.0
2016-01-05 13:00:00,동작구,31.0,16.0
2016-01-05 14:00:00,동작구,18.0,18.0
2016-01-05 15:00:00,동작구,24.0,11.0
2016-01-05 16:00:00,동작구,43.0,20.0
2016-01-05 17:00:00,동작구,27.0,20.0
2016-01-05 18:00:00,동작구,36.0,22.0
2016-01-05 19:00:00,동작구,48.0,19.0
2016-01-05 20:00:00,동작구,34.0,26.0
2016-01-05 21:00:00,동작구,23.0,22.5
2016-01-05 22:00:00,동작구,49.0,23.0
2016-01-05 23:00:00,동작구,39.0,26.0
2016-01-06 00:00:00,동작구,37.0,30.0
2016-01-06 01:00:00,동작구,33.0,25.0
2016-01-06 02:00:00,동작구,42.0,26.0
2016-01-06 03:00:00,동작구,28.0,25.0
2016-01-06 04:00:00,동작구,35.0,31.0
2016-01-06 05:00:00,동작구,36.0,30.0
2016-01-06 06:00:00,동작구,36.0,27.0
2016-01-06 07:00:00,동작구,48.0,28.0
2016-01-06 08:00:00,동작구,40.0,30.0
2016-01-06 09:00:00,동작구,33.0,28.0
2016-01-06 10:00:00,동작구,51.0,35.0
2016-01-06 11:00:00,동작구,53.0,30.0
