일시,구분,미세먼지(PM10),초미세먼지(PM25)
2016-01-01 00:00:00,강남구,107.0,68.0
2016-01-01 01:00:00,강남구,100.0,67.0
2016-01-01 02:00:00,강남구,103.0,60.0
2016-01-01 03:00:00,강남구,89.0,59.0
2016-01-01 04:00:00,강남구,91.0,52.0
2016-01-01 05:00:00,강남구,87.0,53.0
2016-01-01 06:00:00,강남구,83.0,46.0
2016-01-01 07:00:00,강남구,93.0,50.0
2016-01-01 08:00:00,강남구,93.0,47.0
2016-01-01 09:00:00,강남구,89.0,45.0
2016-01-01 10:00:00,강남구,89.0,49.0
2016-01-01 11:00:00,강남구,86.0,51.0
2016-01-01 12:00:00,강남구,93.0,53.0
2016-01-01 13:00:00,강남구,97.0,71.0
2016-01-01 14:00:00,강남구,89.0,64.0
2016-01-01 15:00:00,강남구,73.0,52.0
2016-01-01 16:00:00,강남구,44.0,31.0
2016-01-01 17:00:00,강남구,28.0,21.0
2016-01-01 18:00:00,강남구,42.0,24.0
2016-01-01 19:00:00,강남구,49.0,30.0
2016-01-01 20:00:00,강남구,52.0,34.0
2016-01-01 21:00:00,강남구,59.0,26.0
2016-01-01 22:00:00,강남구,47.0,28.0
2016-01-01 23:00:00,강남구,41.0,28.0
2016-01-02 00:00:00,강남구,42.0,20.0
2016-01-02 01:00:00,강남구,38.0,29.0
2016-01-02 02:00:00,강남구,39.0,19.0
2016-01-02 03:00:00,강남구,34.0,27.0
2016-01-02 04:00:00,강남구,36.0,21.0
2016-01-02 05:00:00,강남구,37.0,22.0
2016-01-02 06:00:00,강남구,35.0,19.0
2016-01-02 07:00:00,강남구,36.0,22.0
2016-01-02 08:00:00,강남구,35.0,25.0
2016-01-02 09:00:00,강남구,38.0,20.0
2016-01-02 10:00:00,강남구,40.0,23.0
2016-01-02 11:00:00,강남구,47.0,29.0
2016-01-02 12:00:00,강남구,46.0,25.0
2016-01-02 13:00:00,강남구,51.0,30.0
2016-01-02 14:00:00,강남구,56.0,29.0
2016-01-02 15:00:00,강남구,55.0,34.0
2016-01-02 16:00:00,강남구,53.0,30.0
2016-01-02 17:00:00,강남구,59.0,31.0
