일시,구분,미세먼지(PM10),초미세먼지(PM25)
2016-01-01 00:00:00,송파구,92.0,51.0
2016-01-01 01:00:00,송파구,86.0,60.0
2016-01-01 02:00:00,송파구,91.0,65.0
2016-01-01 03:00:00,송파구,77.0,57.0
2016-01-01 04:00:00,송파구,77.0,50.0
2016-01-01 05:00:00,송파구,73.0,52.0
2016-01-01 06:00:00,송파구,72.0,44.0
2016-01-01 07:00:00,송파구,63.0,42.0
2016-01-01 08:00:00,송파구,57.0,36.0
2016-01-01 09:00:00,송파구,57.0,33.0
2016-01-01 10:00:00,송파구,68.0,31.0
2016-01-01 11:00:00,송파구,83.0,43.0
2016-01-01 12:00:00,송파구,78.0,53.0
2016-01-01 13:00:00,송파구,80.0,53.0
2016-01-01 14:00:00,송파구,63.0,37.0
2016-01-01 15:00:00,송파구,44.0,32.0
2016-01-01 16:00:00,송파구,41.0,23.0
2016-01-01 17:00:00,송파구,48.0,28.0
2016-01-01 18:00:00,송파구,52.0,30.0
2016-01-01 19:00:00,송파구,49.0,30.0
2016-01-01 20:00:00,송파구,57.0,29.0
2016-01-01 21:00:00,송파구,64.0,33.0
2016-01-01 22:00:00,송파구,65.0,27.0
2016-01-01 23:00:00,송파구,45.0,23.0
2016-01-02 00:00:00,송파구,34.0,25.0
2016-01-02 01:00:00,송파구,31.0,29.0
2016-01-02 02:00:00,송파구,30.0,23.0
2016-01-02 03:00:00,송파구,25.0,25.0
2016-01-02 04:00:00,송파구,25.0,20.0
2016-01-02 05:00:00,송파구,23.0,15.0
2016-01-02 06:00:00,송파구,24.0,19.0
2016-01-02 07:00:00,송파구,26.0,19.0
2016-01-02 08:00:00,송파구,26.0,17.0
2016-01-02 09:00:00,송파구,31.0,17.0
2016-01-02 10:00:00,송파구,36.0,25.0
2016-01-02 11:00:00,송파구,51.0,38.0
2016-01-02 12:00:00,송파구,45.0,25.0
2016-01-02 13:00:00,송파구,40.0,27.0
2016-01-02 14:00:00,송파구,45.0,27.0
2016-01-02 15:00:00,송파구,46.0,29.0
2016-01-02 16:00:00,송파구,45.0,27.0
2016-01-02 17:00:00,송파구,42.0,26.0
2016-01-02 18:00:00,송파구,48.0,24.0
2016-01-02 19:00:00,송파구,46.0,21.0
2016-01-02 20:00:00,송파구,45.0,28.0
2016-01-02 21:00:00,송파구,64.0,30.0
2016-01-02 22:00:00,송파구,67.0,33.0
2016-01-02 23:00:00,송파구,59.0,23.0
2016-01-03 00:00:00,송파구,53.0,24.0
2016-01-03 01:00:00,송파구,55.0,34.0
2016-01-03 02:00:00,송파구,60.0,40.0
2016-01-03 03:00:00,송파구,59.0,35.0
2016-01-03 04:00:00,송파구,60.0,37.0
2016-01-03 05:00:00,송파구,48.0,28.0
2016-01-03 06:00:00,송파구,47.0,26.0
2016-01-03 07:00:00,송파구,54.0,26.0
2016-01-03 08:00:00,송파구,41.0,24.0
2016-01-03 09:00:00,송파구,53.0,23.0
2016-01-03 10:00:00,송파구,51.0,27.0
2016-01-03 11:00:00,송파구,60.0,33.0
2016-01-03 12:00:00,송파구,57.0,42.0
2016-01-03 13:00:00,송파구,65.0,41.0
2016-01-03 14:00:00,송파구,86.0,50.0
2016-01-03 15:00:00,송파구,110.0,58.0
2016-01-03 16:00:00,송파구,100.0,58.0
2016-01-03 17:00:00,송파구,98.0,56.0
2016-01-03 18:00:00,송파구,90.0,52.0
2016-01-03 19:00:00,송파구,78.0,50.0
2016-01-03 20:00:00,송파구,101.0,55.0
2016-01-03 21:00:00,송파구,121.0,70.0
2016-01-03 22:00:00,송파구,132.0,55.0
2016-01-03 23:00:00,송파구,105.0,59.0
2016-01-04 00:00:00,송파구,101.0,73.0
2016-01-04 01:00:00,송파구,107.0,80.0
2016-01-04 02:00:00,송파구,114.0,84.0
2016-01-04 03:00:00,송파구,129.0,89.0
2016-01-04 04:00:00,송파구,127.0,80.0
2016-01-04 05:00:00,송파구,122.0,80.0
2016-01-04 06:00:00,송파구,152.0,79.0
2016-01-04 07:00:00,송파구,118.0,68.0
2016-01-04 08:00:00,송파구,78.0,46.0
2016-01-04 09:00:00,송파구,76.0,41.0
2016-01-04 10:00:00,송파구,76.0,41.0
2016-01-04 11:00:00,송파구,58.0,35.0
2016-01-04 12:00:00,송파구,52.0,28.0
2016-01-04 13:00:00,송파구,42.0,20.0
2016-01-04 14:00:00,송파구,24.0,12.0
2016-01-04 15:00:00,송파구,19.0,5.0
2016-01-04 16:00:00,송파구,14.0,2.0
2016-01-04 17:00:00,송파구,18.0,2.0
2016-01-04 18:00:00,송파구,21.0,2.0
2016-01-04 19:00:00,송파구,23.0,8.0
2016-01-04 20:00:00,송파구,23.0,9.0
2016-01-04 21:00:00,송파구,25.0,7.0
2016-01-04 22:00:00,송파구,23.0,9.0
2016-01-04 23:00:00,송파구,19.0,6.0
2016-01-05 00:00:00,송파구,14.0,4.0
2016-01-05 01:00:00,송파구,13.0,4.0
2016-01-05 02:00:00,송파구,14.0,8.0
2016-01-05 03:00:00,송파구,18.0,10.0
2016-01-05 04:00:00,송파구,17.0,14.0
2016-01-05 05:00:00,송파구,22.0,12.0
2016-01-05 06:00:00,송파구,26.0,13.0
2016-01-05 07:00:00,송파구,25.0,12.0
2016-01-05 08:00:00,송파구,25.0,13.0
2016-01-05 09:00:00,송파구,24.0,14.0
2016-01-05 10:00:00,송파구,23.0,9.0
2016-01-05 11:00:00,송파구,19.0,8.0
2016-01-05 12:00:00,송파구,19.0,12.0
2016-01-05 13:00:00,송파구,22.0,11.0
2016-01-05 14:00:00,송파구,25.0,10.0
2016-01-05 15:00:00,송파구,23.0,12.0
2016-01-05 16:00:00,송파구,32.0,13.0
2016-01-05 17:00:00,송파구,35.0,16.0
2016-01-05 18:00:00,송파구,37.0,12.0
2016-01-05 19:00:00,송파구,38.0,17.0
